0	0
0.000000198	0
0.0000002	0.001
0.000000398	0.001
0.0000004	0.002
0.000000598	0.002
0.0000006	0.003
0.000000798	0.003
0.0000008	0.004
0.000000998	0.004
0.000001	0.005
0.000001198	0.005
0.0000012	0.006
0.000001398	0.006
0.0000014	0.007
0.000001598	0.007
0.0000016	0.008
0.000001798	0.008
0.0000018	0.009
0.000001998	0.009
0.000002	0.01
0.000002198	0.01
0.0000022	0.011
0.000002398	0.011
0.0000024	0.012
0.000002598	0.012
0.0000026	0.013
0.000002798	0.013
0.0000028	0.014
0.000002998	0.014
0.000003	0.015
0.000003198	0.015
0.0000032	0.016
0.000003398	0.016
0.0000034	0.017
0.000003598	0.017
0.0000036	0.018
0.000003798	0.018
0.0000038	0.019
0.000003998	0.019
0.000004	0
